Time,Stiffness,Damping,R_shoulder_pan_p,R_shoulder_lift_p,R_elbow_p,R_wrist_1_p,R_wrist_2_p,R_wrist_3_p,R_shoulder_pan_v,R_shoulder_lift_v,R_elbow_v,R_wrist_1_v,R_wrist_2_v,R_wrist_3_v,S_shoulder_pan_p,S_shoulder_lift_p,S_elbow_p,S_wrist_1_p,S_wrist_2_p,S_wrist_3_p,S_shoulder_pan_v,S_shoulder_lift_v,S_elbow_v,S_wrist_1_v,S_wrist_2_v,S_wrist_3_v,C_shoulder_pan_p,C_shoulder_lift_p,C_elbow_p,C_wrist_1_p,C_wrist_2_p,C_wrist_3_p
3.403, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.016596593917247535, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.09084015048418301, 0.0, 0.0, 0.0, 4.810909282571044e-07, -1.5707337425092798, 0.015974859446731823, -1.5707719588709224, -7.208109135567056e-07, -1.4555761315804892e-09, -0.00014254873696516702, -0.0005722388719824389, -0.00043038025849384353, -0.00021400796140171128, 7.718081489073672e-06, 4.463820856690958e-08, 1.5777218104420236e-30, -1.5707963267948966, 0.3030598321463134, -1.5707963267948966, 0.0, 0.0
3.504, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.0698483993421365, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.7919115926481076, 0.0, 0.0, 0.0, 0.0013456755331683237, -1.573145900666619, 0.03530259293279217, -1.5718330954072643, 1.1907229698197142e-05, -5.451741372625231e-07, 0.005112445897638544, 0.00820400557738145, 1.1319075123078925, 0.004887744281406361, 0.0001140291165005631, 7.28795766792814e-06, 1.5777218104420236e-30, -1.5707963267948966, 0.3351136305299356, -1.5707963267948966, 0.0, 0.0
3.604, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.13984081043790078, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.5372841598403905, 0.0, 0.0, 0.0, 0.000755992370878634, -1.5720081982489371, 0.17316291191091213, -1.5712173725632381, 4.503694898557234e-06, -2.400522848554972e-07, -0.03726918759500437, 0.07218011275522995, 1.720964390655358, 0.0320888877857717, -0.0003245249366868604, 1.7423220223247938e-05, 1.5777218104420236e-30, -1.5707963267948966, 0.21900873413553246, -1.5707963267948966, 0.0, 0.0
3.704, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.21032928367256862, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.7227882357473261, 0.0, 0.0, 0.0, 0.0003680125822805849, -1.5711262924539575, 0.26635653912222257, -1.5708903363813764, -1.719694489321029e-06, -1.34890079030688e-07, -0.021918985065518242, 0.047958849894473424, 1.814480626543218, 0.02446500035714762, -0.00015511315518076097, 1.4420457939796822e-05, 1.5777218104420236e-30, -1.5707963267948966, 0.359851325749917, -1.5707963267948966, 0.0, 0.0
3.803, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.28620682061227004, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.7085148339812417, 0.0, 0.0, 0.0, -0.0002765485057680033, -1.5722091337531836, 0.2854500559127889, -1.570643195032217, -1.4736260300581956e-05, -2.772121184260072e-07, 0.00874677185155316, -0.5082644271996771, 2.0129519078330462, 0.007360335389544413, 0.0003588979524609375, 1.487104483553377e-05, 1.5777218104420236e-30, -1.5707963267948966, 0.463445867815444, -1.5707963267948966, 0.0, 0.0
3.903, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.3681775925131895, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.7427969608879298, 0.0, 0.0, 0.0, 0.0003368673164473123, -1.5718030016869466, 0.34714960612601303, -1.5708137705000367, -5.1793522487471e-06, -1.5234059956570668e-07, -0.016992740421306125, 0.04921882885689274, 1.3453312446960253, 0.020307123460504596, -8.486145583613448e-05, 1.1912223937973307e-05, 1.5777218104420236e-30, -1.5707963267948966, 0.46453009672222106, -1.5707963267948966, 0.0, 0.0
4.004, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.4364227269875081, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.7075615715863878, 0.0, 0.0, 0.0, 0.0004658564770461412, -1.5717112557873933, 0.4138897546239438, -1.5710995276850022, -4.741509502902768e-06, -3.2223612084055686e-07, -0.013601305681928393, 0.041575602301446565, 1.7759938208918835, 0.02296681827997753, -3.165917676353519e-05, 1.4728624680940448e-05, 1.5777218104420236e-30, -1.5707963267948966, 0.6551072640411499, -1.5707963267948966, 0.0, 0.0
4.104, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.5177064867600447, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.9074999669218876, 0.0, 0.0, 0.0, -0.00042331504686608676, -1.5648813128557761, 0.4748770091141126, -1.5693795250949745, -2.30037589608004e-05, 3.5749181160381237e-07, -0.0022728862755984347, -0.061633329048243646, 0.7157881925088482, -0.002893153658383353, 0.00019272687584796658, 2.9169951553504147e-06, 1.5777218104420236e-30, -1.5707963267948966, 0.8108268793911095, -1.5707963267948966, 0.0, 0.0
4.204, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.5956040061598231, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.9101371908368836, 0.0, 0.0, 0.0, -0.00023655754322198853, -1.5672749620435393, 0.5397832383063875, -1.5695888495566546, -2.147002751917405e-05, 2.574250084991694e-07, -0.0021175875736412866, -0.031465329422475666, 0.8188075858515196, -0.0023921199507310254, 0.00020482862183902428, 3.266319674372756e-06, 1.5777218104420236e-30, -1.5707963267948966, 0.6980376635710905, -1.5707963267948966, 0.0, 0.0
4.303, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.672838924322603, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.8573394593515034, 0.0, 0.0, 0.0, -0.00054374499887603, -1.5668701615578473, 0.5979174816102681, -1.5684551418806079, -3.115924889191362e-05, 7.272238790951597e-07, 0.0017288817875644334, -0.04103848016028041, -0.059017617998649054, -0.022443459272101122, 0.00034527538934396427, -5.698314818002129e-06, 1.5777218104420236e-30, -1.5707963267948966, 0.7402498633339804, -1.5707963267948966, 0.0, 0.0
4.404, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.7387077890828718, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.425299671111744, 0.0, 0.0, 0.0, -3.152258491520628e-05, -1.5692698028580632, 0.6951437672127174, -1.5698233408906361, -2.2043649889038694e-05, 7.753206285495764e-08, -0.00800696234548596, 0.011441437305090195, 1.1675394092706624, 0.013811776551234115, 0.0001148972202161229, 1.0420316714684003e-05, 1.5777218104420236e-30, -1.5707963267948966, 0.9635570357313511, -1.5707963267948966, 0.0, 0.0
4.504, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.8208631699267992, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.7065680714360484, 0.0, 0.0, 0.0, -5.604267675164308e-05, -1.5693375803078058, 0.7438616388238094, -1.5697021670610376, -2.439670282377328e-05, 8.894763359739532e-08, -0.0006247484634081665, -0.009541257303156447, 0.9743694830257731, -0.004437697625061441, 0.0002876200973569317, 3.662107081141822e-06, 1.5777218104420236e-30, -1.5707963267948966, 1.0018877912789985, -1.5707963267948966, 0.0, 0.0
4.604, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.8940104295417061, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.6345977122215839, 0.0, 0.0, 0.0, 5.3482464457730936e-05, -1.5699688826442089, 0.8325326525824337, -1.5700086969025056, -2.3213580018149957e-05, -7.797904179088476e-08, -0.010470465416404118, 0.031010623794669054, 1.5644932902849515, 0.02838188198108449, 5.838509305284299e-05, 1.84846241810149e-05, 1.5777218104420236e-30, -1.5707963267948966, 1.1436595543654389, -1.5707963267948966, 0.0, 0.0
4.704, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 0.9678390426426013, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.8186927459748041, 0.0, 0.0, 0.0, 0.00017499816175681567, -1.5707028498406348, 0.9502911112410669, -1.570757844117145, -1.9813933139370324e-05, -4.4473385828365064e-07, -0.00881170928966446, 0.041253372293114585, 2.6326495197863093, 0.045257181159507325, -2.3029028838789076e-05, 2.6779977207828724e-05, 1.5777218104420236e-30, -1.5707963267948966, 1.0772307725115158, -1.5707963267948966, 0.0, 0.0
4.804, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 1.0381418592630085, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.6892905656657302, 0.0, 0.0, 0.0, -0.00024506784158309067, -1.5683374301604265, 1.0388959454466027, -1.5681199830574215, -3.932198636301121e-05, 6.710475708724676e-07, -0.00016449406860012564, -0.017132662488859966, 0.7364728981164663, -0.01833788228195913, 0.0004485736278762603, -5.553562121804642e-07, 1.5777218104420236e-30, -1.5707963267948966, 1.2185720518666845, -1.5707963267948966, 0.0, 0.0
4.904, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 1.1265249570454359, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.8974925832525427, 0.0, 0.0, 0.0, -0.00019296661561186783, -1.56539703400087, 1.098241694019874, -1.5685823078226593, -3.837476722499238e-05, 4.0616761692426184e-07, 0.001780367791464743, -0.06915916013388777, 0.8502954044210442, -0.017787999854101216, 0.0004755695703973715, 4.653857661375552e-07, 1.5777218104420236e-30, -1.5707963267948966, 1.2888025057980201, -1.5707963267948966, 0.0, 0.0
5.004, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 1.2114467093390113, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.8641820318523257, 0.0, 0.0, 0.0, 4.145839128935966e-05, -1.5685443577771256, 1.1636731651581398, -1.5701333328415215, -2.8752323998910023e-05, -2.8752073829759317e-07, -0.0037431803228026783, -0.005644478384260474, 1.8762827417479238, 0.026635241538372215, 0.00018560821894638064, 2.004090284753796e-05, 1.5777218104420236e-30, -1.5707963267948966, 1.276512725135376, -1.5707963267948966, 0.0, 0.0
5.103, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 1.2797305744061693, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 1.0903601075985487, 0.0, 0.0, 0.0, -3.0744795564776905e-06, -1.5690812510528855, 1.2536620441821897, -1.5696871202008786, -3.2402899933066624e-05, -8.575840551514919e-08, -0.002656428546022707, 0.0007732049349621288, 1.7917050065847513, 0.020179360387802648, 0.0002423153449623042, 1.8674966077772885e-05, 1.5777218104420236e-30, -1.5707963267948966, 1.4656555329577423, -1.5707963267948966, 0.0, 0.0
5.204, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 1.372742268311137, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.7477571362766827, 0.0, 0.0, 0.0, -0.00015441766767123203, -1.5676254340429938, 1.2944592752372226, -1.5673474000251895, -4.747679156719011e-05, 9.248197288030502e-07, 0.001645875685709652, -0.005069536234723293, -0.32409145806540257, -0.05546462404815789, 0.0007140133189175405, -1.5889809810866757e-05, 1.5777218104420236e-30, -1.5707963267948966, 1.635268741619576, -1.5707963267948966, 0.0, 0.0
5.303, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 1.4377021943343018, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.675503931469013, 0.0, 0.0, 0.0, -1.992151857311643e-05, -1.5702465171878497, 1.4137603699572843, -1.5693859166815907, -3.565540976236263e-05, -6.886659376846717e-09, -0.0017511687268255461, 0.01665310727942886, 1.75834598445431, 0.01770745379528853, 0.0002896639564601212, 1.7363017080624763e-05, 1.5777218104420236e-30, -1.5707963267948966, 1.6401027132229673, -1.5707963267948966, 0.0, 0.0
5.404, 600.0, 40.0, 1.5777218104420236e-30, -1.5707963267948966, 1.507771653220247, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.9780513679514838, 0.0, 0.0, 0.0, -8.491850151390323e-05, -1.5681873610330004, 1.4795769341891756, -1.567851935893705, -4.567191232323292e-05, 6.571906762168674e-07, 0.0011665507720935112, -0.037068335314541956, 0.14307510048168534, -0.04052788143909577, 0.0006614694626994673, -8.29224889751438e-06, 1.5777218104420236e-30, -1.5707963267948966, 1.6444411218014388, -1.5707963267948966, 0.0, 0.0
5.503, 600.0, 43.157894134521484, 1.5777218104420236e-30, -1.5707963267948966, 1.5766182519448753, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.37737605592791534, 0.0, 0.0, 0.0, -4.968051510715283e-05, -1.5688329112812356, 1.549737114158986, -1.568221848969117, -4.364423878312601e-05, 4.86706939964312e-07, 0.0005525434433348119, -0.02365782952025823, 0.4604932760665946, -0.02809308088621681, 0.0005884852599478044, -2.8376295637406726e-06, 1.5777218104420236e-30, -1.5707963267948966, 1.4054554222812092, -1.5707963267948966, 0.0, 0.0
